Name,Devanagari Script,Meaning
Micitā,मिचिता,name of a river
Mitokti,मितोक्ति,moderate speech
Milikā,मिलिका,black brass
Mukulitā,मुकुलिता,"budded, full of blossoms"
Muktā,मुक्ता,"liberated, emancipated, an ornament made of strings of pearls"
Muktāvalī,मुक्तावली,a pearl necklace
Mukti,मुक्ति,"setting or becoming free, release, liberation"
Mumukṣā,मुमुक्षा,desire of liberation
Mudā,मुदा,"pleasure, joy, gladness"
Muditā,मुदित,"delighted, joyful, glad, rejoicing"
Mugdhā,मुग्धा,"inexperienced, simple, innocent, artless, attractive or charming"
Mṛgaṇā,मृगणा,"seeking, research"
Mṛḍā,मृदा,"showing compassion, wife of Śiva"
Mṛṇālinī,मृणालिनी,a lotus plant or a group of lotuses
Mṛtsā,मृत्सा/Mṛtsnā,"good soil, earth"
Mṛdvikā,मृद्विका,"a vine, a bunch of grapes"
Mṛdvī,मृद्वी,a delicate woman
Mṛṇmayī,मृण्मयी,name of Sītā
Medhā,मेधा,"mental vigour or power, intelligence, prudence, wisdom"
Nabha,नभ,"the sky, expanding"
Naciketa,नचिकेत,"fire, an ancient sage, so of Uddālaka"
Nakṣatra,नक्षत्र,"star / heavenly body, sun"
Nāgeśa,नागेश,name of Śiva
Naṭeśvara,नटेश्वर,lord of dancers
Nanda,नन्द,"joy, delight, happinness"
Nandaka,नन्दक,"rejoicing, gladdening"
Nandīśa,नन्दीश,name of an attendent of Śiva
Nabhaga,नभग,a bird
Namita,नमित,modest
Namana,नमन,salutation
Nayakovida,नयकोविद,"skilled in policy, prudent"
Nayaka,नयक,clever in policy
Nayiṣṭha,नयिष्ठ,leading in the best manner
Naraśārdula,नरशार्दूल,an eminent and illustrious man
Nartana,नर्तन,a peacock
Narmata,नर्मत,the sun
Narottama,नरोत्तम,"best among men, another name of Viṣṇu"
Naviṣṭha,नविष्ठ,"newest, youngest"
Navina,नवीन,the new moon
Navodaya,नवोदय,newly risen moon
Navodita,नवोदित,"newly risen, new born, name of the sun"
Navana,नवन,the act of praising
Nahuṣa,नहुष,"son of Manu, Ṛṣi in Ṛgveda"
Nārāyaṇa,नारायण,identified with Viṣṇu/Kṛṣṇa
Nikara,निकर,"collection, gift, treasure, the best of anything"
Niketa,निकेत,"a mark, a sign"
Nikhara,निखर,name of Agni
Nikhila,निखिल,"complete, whole, entire"
Nikhuryapa,निखुर्यप,name of viṣṇu
Nipuṇa,निपुण,"clever, skilfull, sharp"
Nibhuyapa,निभुयप,name of Viṣṇu
Nirvaha,निर्वह,a kind of sword
Niruha,निरुह,logic
Niruhaṇa,निरुहण,ascertainment
Nireka,निरेक,"prominence, superiority"
Nirghoṣa,निर्घोष,sound
Nirjhara,निर्जर,a waterfall
Nirṇaya,निर्णय,"decision, complete ascertainment"
Nirṇara,निर्णर,one of the horses of the sun
Nirdeśa,निर्देश,"pointing out, indicating, directing"
Nirdhauta,निर्धौत,"washed off, cleansed, purified, polished"
Nirbhṛta,निर्भृत,firm
Nirmuṭa,निर्मुट,"a tree, a free market/fair, the sun"
Niryāma,निर्याम,a pilot
Niryūha,निर्युह,a kind of pinnacle
Niśitha,निशिथ,night
Niścaya,निश्चय,"ascertainment, fixed opinion"
Niṣka,"निष्क deeply versed in, skilful, clever",
Nīlābha,नीलाभ,"bluish hue, another name for moon"
Nakhālī,नखाली,a small shell
Nandanā,नन्दना,"rejoicing, gladdening"
Nandantī,नन्दन्ती,"rejoicing, gladdening"
Nandā,नन्दा,name of a Tirtha
Nandinī,नन्दिनी,a kind of metre
Naptṛkā,नप्तृका,a species of bird
Nabhaḥsindhu,नभःसिन्धु,celestial Gaṅgā
Nabhascārī,नभश्चारी,"aerial, celestial"
Nayanā/ī,नयना/नी,the pupil of the eye
Narmadā,नर्मदा,"̍pleasure-giver̍, name of a river"
Narmarā,नर्मरा,a valley
Nalinī,नलिनी,a lotus
Navikā,नविका,"new, fresh, young, novice"
Naviṣṭhī,नविष्ठी,a song of praise
Navyā,नव्या,"to be praised, laudable"
Nāyikā,नायिका,a noble lady
Nārikī,नारिकी,spiritual
Nāracikā,नारचिका,a kind of metre
Nālinī,नालिनी,a mystic
Nicikī,निचिकी,an excellent cow
Nicitā,निचिता,"covered, flowing down, name of a a river in ancient India"
Nityā,नित्या,"innate, native"
Nidhyaptī,निध्यप्ती,"reflection, philosophical meditation"
Ninīṣā,निनीषा,desire of bringing
Nimiṣā,निमिषा,twinkling of the eye
Nirājitā,निराजिता,illuminated
Niriṅgiṇī,निरिङ्गिणी,a veil
Nirañjanā,निराञ्जना,"spotless, pure, the day of the full moon, name of Durgā"
Nirukti,निरुक्ति,etymological interpretation of a word
Nirupti,निरुप्ति,offering
Nirupitī,निरूपिती,"statenment, definition"
Nirulatā,निरुलता,a vine that grows in water
Nirebhā,निरेभा,"soundless, noiseless"
Nirgunṭī,निर्गुण्टी,the root of lotus
Nirmiti,निर्मिति,"formation, creation, making"
Nirmimitsā,निर्मिमित्सा,desire of creating
Nirminoti,निर्मिनोति,to make by miracle
Niryūhā,निर्यूहा,"a crest, a head ornament"
Niśā,निशा,"night, a vision, a dream"
Niśitā,निशिता,night
Niṣṭhā,निष्ठा,"firmness, attachment, devotion"
Nīlā,नीला,the indigo plant
Nīlāñjanā,नीलाञ्जना,"antimony, lightning"
Nīlimā,नीलिमा,blue
Nīlinī,नीलिनी,the indigo plant
Nupurā,नूपुरा,"an ornament for the toes, angles or feet"
Nediṣṭhā,नेदिष्ठा,near
Nehā,नेहा,"loving, affectionate"
Nūtanā,नूतना,"recent, now, young, fresh"
Naulī,नौली,a kind of self penance
Dakṣa,दक्ष,"able, fit, expert, clever"
Dakṣṇeśa,दक्षणेश,Lord Śiva
Daṇḍaka,दण्डक,name of a plant
Datta,दत्त,"protected, honoured"
Dattātraya,दत्तात्राय,"name of a sage, son of Atri"
Dadhikra,दधिक्र,personification of the morning sun addressed in Ṛgveda
Dayita,दयित,"cherished, beloved, dear"
Darendra,दरेन्द्र,Viṣṇu’s conch
Darpaka,दर्पक,making proud
Darśa,दर्श,the moon when it just becomes visible
Darśan,दर्शन,"knowing, seeing, observing. looking"
Darśya,दर्श्य,worthy of being seen
Dahara,दहर,"short, fine, thin"
Dāka,दाक,a donor
Dāman,दामन्,"giver, donator"
Dāmodara,दामोदर,"having a rope around the waist, name of Kṛṣṇa"
Damośṇiśa,दामोश्णिश,name of an ancient sage
Dāruka,दारुक,name of Kṛṣṇa̍s charioteer
Dārvaṇḍa,दार्वण्ड,a peacock
Dālma,दाल्म,name of Indra
Didyu,दिद्यु,"the sky, heaven"
Dinarāja,दिनराज,"‘day king’, the sun"
Dilīpa,दिलीप,ancestor of Rāma
Divaukas,दिवौकस्,"a sky dweller, a deity, a God"
Divākara,दिवाकर,"‘day maker’, the sun"
Divodāsa,दिवोदास,name of Bharadvāja
Diganta,दिगन्त,end of horizon
Digambara,दिगम्बर,"‘sky clothed’, name of Śiva"
Diṣṇu,दिष्णु,liberal
Dīkṣaka,दीक्षक,spiritual guide
Dīpāṅkura,दीपाङ्कुर,the flame of light
Dīpaka,दीपक / Dīpana,"kindling, illuminating, name of a Rāga"
Dīpita,दीपित,excited
Dūlāsa,दूलास,a bow
Dṛita,दृत,"to respect, honour"
Devadatta,देवदत्त,"‘god given’, name of Arjuna’s conch shell"
Deveśa,देवेश,"chief of Gods, Brahma/Viṣṇu/Śiva"
Devaka,देवक,"divine, celestial"
Devila,देविल,"righteous, virtuous"
Devya,देव्य,divine power
Devaṭa,देवट,"artist, artisan"
Daivika,दैविक,related to Gods
Daivya,दैव्य,divine
Dyota,द्योत,"light, brilliance"
Dyotana,द्योतन,"shining, glittering"
Draviṇaka,द्रविणक,name of son of Agni
Droṇa,द्रोण,preceptor of Kauravas and Pāṇḍavas
Dvija,द्विज,twice born
Dvijeśa,द्विजेश,chief of twice born
Dvaidha,द्वैध,"twofold, duality"
Dvaipāyana,द्वैपायन,"‘island-born’, name of Vyāsa"
Dakṣatā,दक्षता,skilled. talented
Dadhivārī,दधिवारी,an ocean
Danu,दनु,daughter of Dakṣa
Danumāyā,दनुमाया,made of ivory
Dabhrā,दभ्रा,"little, small"
Damanī,दमनी,"subduing, overpowering"
Damayantī,दमयन्ती,"subduing (men), name of Nala’s wife"
Dayā,दया,"sympathy, compassion"
Darpitā,दर्पिता,made proud
Darśayāminī,दर्शयामिनी,the new moon light
Darśatā,दर्शता,"conspicuous, beautiful"
Dalajā,दलजा,born from petals
Dahanī,दहनी,"burning, consuming by fire"
Dāyikā,दायिका,"giving, granting, bestowing, imparting"
Dārikā,दारिका,"maiden, damsel"
Dārbhī,दार्भी,made of Darbha grass
Dārśikī,दार्शिकी,relating to the new moon
Diti,दिति,name of Dakṣa’s daughter and Kaśyapa’s wife
Ditsā,दित्सा,"desire, intention of giving"
Didivi,दिदिवि,the sky
Didṛkṣā,दिदृक्षा,desire of seeing
Diddā,दिद्दा,name of the princess of Kashmir
Didhi,दिधि,"firmness, stability"
Divyā,दिव्या,"divine, heavenly, celestial"
Divyākṛti,दिव्याकृति,very beautiful
Digaṅganā,दिगङ्गना,a quarter of the sky deified as a young girl
Diśā,दिशा,direction
Diṣṭi,दिष्टि,direction
Dīti,दीति,"splendour, brightness"
Dīkṣā,दीक्षा,preparation or consecration for a religious ceremony
Dīdhiti,दीधिति,"brightness, splendour, light, ray"
Dīpaśikhā,दीपशिखा,flame of a lamp
Dīpā,दीपा,lamp
Dīpālī,दीपाली,row of lights
Dīpikā,दीपिका,"light, lamp, lantern"
Dīpinī,दीपिनी,a mystical formula
Dīpti,दीप्ति,"brightness, light, splendour, beauty"
Dīrghikā,दीर्घिका,an oblong lake/pond
Dumatī,दुमती,name of a river
Durgā,दुर्गा,"the inaccessible, terrific Goddess, name of wife of Himavat, wife Śiva"
Durvā,दुर्वा,"darbha grass, holy grass"
Dūlikā,दूलिका the indigo plant,
Dṛṣṭi,दृष्टि,"seen, looked at, perceived, vision"
Devālā,देवाला,name of a Rāgiṇī
Deśanā,देशना,"direction, instruction"
Devahuti,देवहुति,daughter of Manu
Dehalī,देहली,the threshold of a door
Dyuti,द्युति,splendour
Draupadī,द्रौपदी,daughter of king Drupada and the wife of Pāṇḍavas
Dvijāmbā,द्विजाम्बा,name of a princess
Dhanañjaya,धनञ्जय,"fire, vital air to nourish the body, name of Arjuna"
Dhanādipa,धनादीप,"lord of treasure, Kubera"
Dhaneśa,धनेश,name of Kubera
Dhanuṣa,धनुष,"bow maker, name of Kṛṣṇa"
Dharma,धर्म,observance or prescribed conduct/duty
Dharmeśa,धर्मेश,Lord of righteousness
Dharmya,धर्म्य,legal
Dharṣa,धर्ष,boldness
Dhāma,धाम,"ray, strength, splendor"
Dhanurdhara,धनुर्धर,"bearer of the bow, name of Śiva"
Dharaṇija,धरणीज,born from earth
Dharendra,धरेन्द्र,king of the earth
Dharmabhṛt,धर्मभृत्,bearer of religion
Dhaumya,धौम्य,"smoky, grey, name of a Ṛṣi, brother of Upamanyu"
Dhavalacandra,धवलचन्द्र,white moon
Dhāvita,धावित,"washed, purified"
Dhārmika,धार्मिक,"righteous, virtuous"
Dhiyasāna,धियसान,attentive
Dhitika,धितिक,name of Buddha
Dhīṣaṇa,धीषण,"intelligent, wise"
Dhīvan,धीवन्,"skilful, clever"
Dhīman,धीमन्,intelligent
Dhūka,धूक,time
Dhṛk,धृक्,"holding, supporting"
Dhṛta,धृत,"supported, possessed"
Dhīṣaṇa,धीषण,"wise, name of Bṛhaspati"
Dhṛṣita,धृषित,"bold, brave"
Dhruva,ध्रुव,"firm, fixed"
Dhruvākṣara,ध्रुवाक्षर,"the eternal symbol, Om as Viṣṇu"
Dhurandhara,धुरन्धर,"bearing yoke, chief, leader"
Dhupa,धुप,"sun, fragrance"
Dhyāneśa,ध्यानेश,lord of meditation
Dhṛtadakṣa,धृतदक्ष,a calm and constant mind
Dhṛṣṭadyumna,धृष्टद्द्युम्न,"glorified by bravery, son of Drupada"
Dhīra,धीर,"constant, firm"
Dhairya,धैर्य,patience
Dhaumya,धौम्य,name of an ancient Ṛṣi
Dhaurjaṭa,धौर्जट,belonging to Śiva
Dhyānika,ध्यानिक,proceeding from religious meditation
Dhvaja,ध्वज,"a banner, flag"
Dhanashrī,धनश्री,goddess of wealth
Dhanāshrī,धनाश्री,a Rāgiṇī
Dharā,धरा,"bearing, supporting, a form of Sarasvatī"
Dharaṇī,धरणी,"bearing, supporting, the world, the earth"
Dharitrī,धरित्री,the mother earth
Dhavanī,धवनी,name of a medicinal plant
Dhaniṣṭhā,धनिष्ठा,"residing in wealth, a constellation"
Dhanuṣmatī,धनुष्मती,armed with a bow
Dhanavāna,धनवान्,treasure of the jungle
Dhanvī,धन्वी,wealthy
Dhanyā,धन्याP,virtuous
Dharaṇīsutā,धरणीसुता,"daughter of earth, name of Sītā"
Dhārā,धारा,"glory, excellence"
Dhitā,धिता,"bestowed, satisfied, pleased"
Dhītā,धीता,"thoughts, meditation"
Dhiṣṇyā,धिष्ण्या,"mindful, attentive"
Dhītī,धीती,"thought, idea"
Dhītikā,धीतिका,layer
Dhīrā,धीरा,"steady, constant, firm"
Dhīrāvī,धीरावी,name of a plant
Dhīlaṭī,धीलटी,daughter
Dhuṅkṣā,धुङ्क्षा,a kind of a bird
Dhūtā,धूता,name of a river
Dhūmrikā,धूम्रिका,Sheesham i.e the Indian Rosewood
Dhūlikā,धूलिका,pollen grains
Dhiṣaṇā,धिषणा,"knowledge, intelligence"
Dhṛtaratī,धृतरती,"speech, praise"
Dhṛtī,धृति,"firmness, daughter of Dakṣa"
Dhruvaratnā,ध्रुवरत्ना,imperishable jewel
Dhūmrā,धूम्रा,"daughter of Dakṣa, name of Durgā"
Dhumravarṇā,धूम्रवर्णा,smoke coloured
Dhūmalā,धूमला,purple coloured (brownish red)
Dhūminī,,(धूमिनी) smoky
Dhūmorṇā,धूमोरणा,fire
Dhruvī,ध्रुवी,firmly fixed
Dhenā,"धेना wife of Bṛhaspati, speech, voice",
Dhautī,धौती,a kind of penance
Dhautrī,धौत्री,"spring, rivulet"
Dhvaṣṭī,ध्वष्टी,ceasing
Dhvarā,ध्वरा,"bending, adjustable"
Paṭīra,पटिर,sandalwood tree
Patañjali,पतञ्जलि,"a celebrated grammarian (author of Mahābhāṣya), a philosopher (founder of Yoga philosophy)"
Padma,पद्म,lotus
Padmahāsa,पद्महास,smiling like / with a lotus
Padmākara,पद्माकर,assemblage of lotuses
Paniṣṭha,पनिष्ठ,"very wonderful, glorious"
Parāka,पराक,a sort of religious penance
Parikṣit,परिक्षित्,"spreading around, extending (like Agni)"
Paricodita,परिचोदित,set in motion
Paridhīra,परिधीर,very deep
Parimala,परिमल,"fragrant substance, fragrance, perfume"
Parimita,परिमित,"measured, regulated"
Parihāṭaka,परिहाटक,made of pure gold
Parparīka,पर्परिक,the sun
Pallava,पल्लव,"a sprout, spring, bud, blossom"
Pavana,पवन,"purifier, wind or God of wind"
Pavita,पवित,"purified, cleansed"
Pāṇḍara,पाण्डर,"white, pale yellow, jasmine blossom"
Pāraka,पारक,"satisfying, pleasing, cherishing"
Pāramārthika,पारमार्थिक,relating to high or spiritual object
Pārindra,पारिन्द्र,a lion
Pāruṣṇa,पारुष्ण,a kind of bird
Pārtha,पार्थ,"born from Pṛthā, name of Arjuna"
Pārthiva,पार्थिव,"earthen, earthly"
Pālakāpya,पालकाप्य,name of an ancient sage
Pālinda,पालिन्द,incense
Pāvaka,पावक,"pure, clear, shining, bright"
Pāvita,पावित,"cleansed, purified"
Pāvirava,पाविरव,lightning
Pāśaka,पाशक,an ornament for the feet
Picavya,पिचव्य,the cotton plant
Pināka,पिनाक,the staff or bow Specially of Rudra-Śiva
Piśāṅgaka,पिशाङ्गक,attendant of Viṣṇu
Piyuṣa,पियुष,milk of a cow during the first seven days of calving
Puraṇa,पुराण,"the sea, the ocean"
Puruṣendra,पुरुषेन्द्र,lord of men i.e a king
Puruṣottama,पुरुषोत्तम,"best among men, excellent or superior man"
Pulaka,पुलक,"a species of edible plant, a kind of stone or gem"
Pulina,पुलिन,"a sandbank, a small island or bank in the middle of a river, an islet, a sandy beach"
Puṣkara,पुष्कर,"a blue lotus, name of a celebrated place of pilgrimage (now called Pokhar in the district of Ajmer)"
Pūnita,पूनित,"cleansed, purified"
Pūyamāna,पूयमान,being cleansed or purified
Pūjaka,पूजक,"honoring, respecting, worshiping, a worshiper"
Pūrṇaka,पूर्णक,"the blue jay, species of a tree"
Paunḍra,पौण्ड्र,"a species of sugar-cane, name of the conch shell of Bhīma"
Paunḍarika,पौण्ड्रिक,consisting of lotus flowers
Prakāma,प्रकाम,"joy, delight"
Prakāśa,प्रकाश,"appear, shine, become evident or manifest"
Praketa,प्रकॆत,"perception, intelligence, knowledge"
Pragalbha,प्रगल्भ,"bold or confident, behave resolutely"
Praguṇa,प्रगुण,"right, correct, ho nest, upright"
Praghoṣa,प्रघोष,"sound, noise, son Kṛṣṇa"
Praiṣa,प्रैष,"sending, direction, invitation, summons, order, call"
Prauṇa,प्रौण,"clever, learned, skilful"
Plukṣa,प्लुक्ष,fire
Pañjikā,पञ्जिका,a perpetual commentary which explains and analyses every word
Paṇḍā,पण्डा,"wisdom, knowledge, learning"
Patākā,पताका,"a flag, banner"
Patañcikā,पञ्चिका,the bow string
Padmākṣī,पद्माक्षी,lotus eyed
Padminī,पद्मिनी,a multitude of lotuses
Panitā,पनिता,"admired, praised"
Paniṣṭī,पनिष्टी,"admiration, praise"
Parādevī,परादेवी,a particular form of Devī
Pariciti,परिचिति,"acquaintance, familiarity, intimacy"
Parijñya,परिज्ञा,"to notice, observe, understand, knowledge"
Pariṇītā,परिणीता,married
Parimā,परिमा,"measure, periphery"
Pariśobhitā,परिशोभिता,"beautiful, adorned"
Paroṣṭī,परोष्टी,name of a river
Parokṣī,परोक्षी,beyond perception
Paryutsukā,पर्युत्सुका,very excited
Palakṣī,पलक्षी,white
Pahlikā,पह्लिका,"water lettuce, shell flower"
Pāñcālī,पाञ्चाली,"princess of Pañcāla, name of Draupadī"
Patalī,पातली,"pale red, pink"
Pāḍinī,पादिनी,an earthen pot
Pārvatī,पार्वती,"a mountain stream, wife of Śiva"
Pārṣikā,पार्षिका,"metron, name of a woman"
Pālikā,पालिका,"the tip of the ear, the edge, boundary"
Pāvanī,पावनी,"purifying, purificatory"
Pāvīravī,पावीरवी,daughter of lightning
Pipāsā,पिपासा,thirst
Pilpilā,पिल्पिला,name of Goddess Lakṣmi
Piyuśā,पियूषा,nectar drop
Piyūkṣā,पियुक्षा,species of a tree
Pīlā,पीला,name of an Apsaras
Puṇyā,पुण्या,"auspicious, fair, good, right, virtuous, meritorious"
Pūpuṣā,पूपुषा,wish or desire to cleanse or purify
Puralā,पुरला,name of Durgā
Puravī,पुरवी,a Rāgiṇi in music
Purvaṇikā,पुर्वणिका,variously manifested
Puṣitā,पुषिता,"nourished, nurtured"
Puṣkarā,पुष्करा,"the tip of an elephant’s trunk, water, the sky, heaven, an arrow, the blade or the sheath of a sword, the art of dancing"
Puṣpitā,पुष्पिता,"flowered, bearing flowers, blooming, in bloom"
Pūtā,पूता,"cleaned, purified, pure, clear, bright"
Pūjā,पूजा,"honor, worship, respect, reverence, veneration, homage to superiors"
Pūrṇimā,पूर्णिमा,the night or day of full moon
Pṛkti,पृक्ति,"touch, contact"
Pṛthā,पृथा,"Kuntī, wife of Paṇḍu, mother of Karṇa (before marriage) and of Yudhiṣṭhira, Bhīma, Arjuna"
Pṛṣṭi,पृष्टि,"touch, a ray of light"
Perā,पेरा,a kind of musical instrument
Poyā,पोया,a kind of wind instrument
Paulomī,पौलोमी,"name of the wife of Indra, investigation, examination"
Praciti,प्रचिति,"investigation, examination"
Praṇālī,प्रणाली,a channel
Pritā,प्रीता,"pleased, delighted, satisfied, joyful, glad"
Prīti,प्रीति,"pleasure, joy, gladness, satisfaction, affection, love"
Prekṣā,प्रेक्षा,"seeing, viewing, beholding, regarding, looking on"
Pluti,प्लुति,"a leap, a jump"
Banhiman,बन्हिमन्,"abundance, multitude"
Bakoṭa,बकोट,a kind of crane
Bakura,बकुर,a thunderbolt
Bakula,बकुल,a kind of tree
Badara,बदर,the jujube tree
Badarī,बदरी,name of Viṣṇu
Balakṣa,बलक्ष,white
Balhāka,बल्हाक,a rain or thunder-cloud
Bādhva,बाध्व,name of a Ṛṣi
Balāditya,बलादित्य,"the newly risen sun, morning sun"
Biṭhaka,बीठक,the sky
Bimbita,बिम्बित,reflected back
Budha,बुध,the one who is enlightened
Buddhicintaka,बुद्धिचिन्तक,one who thinks wisely
Budhakauśika,बुधकौशिक,author of Rāmarakṣā
Budhajana,बुधजन,a wise man
Bodhana,बोधन,"prudent, clever, a wise man; name of Bṛhaspati"
Bṛhannaṭa,बृहन्नट,name of Arjuna
Brahma,ब्रह्म,a priest
Bruvāṇa,ब्रुवाण,"speaking, telling"
Bakulamālā,बकुलमाला,a garland of Bakula flowers
Bakulitā,बकुलिता,furnished with Bakula trees or flowers
Badarikā,बदरिका,the fruit or berry of the jujube
Bandhurā,बन्धुरा,"curved, rounded, pleasant, beautiful, charming"
Bahalā,बहला,"thick, dense, compact, firm, solid"
Bahulā,बहुला,"a cow, the indigo plant"
Bāgeśrī,बागेश्री,name of a Rāgiṇī
Bimbinī,बिम्बिनी,the pupil of the eye
Bisinī,बिसिनी,a lotus
Buddhikārī,बुद्धिकारी,name of a princess
Budhitā,बुधिता,"known, understood"
Budhilā,बुधिला,"wise, learned"
Bubhutsā,बुभुत्सा,"desire to know, curiosity about"
Bodhikā,बोधिका,"awakening, arousing"
Bṛhatī,बृहती,a particular meter of 36 syllables
Bekurā,बेकुरा,"a voice, a sound"
Brāhmī,ब्राह्मी,"holy, devout"
Bhadra,भद्र,"blessed, auspicious, fortunate, prosperous, happy"
Bharata,भरत,"name of Agni, celebrated hero and monarch of India (the son of Duṣyanta and Śakuntalā)"
Bharadvāja,भरद्वाज,bearing speed or light
Bharita,भरित,"nourished, full"
Bharu,भरु,"a lord, master, name of Viṣṇu or Śiva"
Bhartavya,भर्तव्य,"to be borne, carried"
Bhartṛ,भर्तृ,"a bearer, a preserver, protector"
Bharga,भर्ग,"radiance, splendour, name of Śiva"
Bhakuṭa,भकुट,having a bright point
Bhānava,भानव,peculiar to the sun
Bhānukesara,भानुकेसर,"ray-maned, the sun"
Bhāma,भाम,"light, brightness, splendour"
Bhāraṇḍa,भारण्ड,a fabulous bird
Bhārata,भारत,descended from Bharata
Bhāraya,भारय,a sky lark
Bhārava,भारव,bow string
Bhārgava,भार्गव,relating to/coming from Bhṛgu
Bhāvodaya,भवोदय,rising of emotion or passion
Bhāsa,भास,"light, lustre, brightness"
Bhāsu,भासु,the sun
Bhāskara,भासकर,"making light, the sun"
Bhīṣaṇa,भीषण,"terrifying, name of Śiva"
Bhīṣma,भीष्म,"terrible, great, name of Śiva, son of Śantanu and Gaṅgā"
Bhūṣaṇa,भूषण,"decorating, adorning, embellishment"
Bhṛgu,भृगु,name of a mythical race closely connected with fire
Bhṛśa,भृश,"strongly, greatly"
Bhairava,भैरव,name of a form of Śiva
Bhairika,भैरिक,name of son of Kṛṣṇa by Satyabhāmā
Bhautika,भौतिक,name of Śiva
Bhaumya,भौम्य,being on earth
Bhrānta,भ्रान्त,wandering or roaming about
Bhrāja,भ्राज,"shining, glittering"
Bhrāji,भ्राजी,"splendour, lustre"
Bhrājiṣṇu,भ्राजिष्णु,"shining, splendid, radiant"
Bhadrikā,भद्रिका,"good, brave, beautiful"
Bhadrā,भद्रा,"blessed, auspicious, prosperous, happy"
Bhakti,भक्ति,devotion
Bhāriṇī,"भारिणी nourishes, full",
Bhavayānī,भवयानी,"coming from Śiva, Gaṅgā"
Bhavānī,भवानी,"name of a Goddess identified in later times with Pārvatī, wife of Śiva, in pacific and amiable form"
Bhavyā,भव्या,"being, existing, present"
Bhāti,भाति,"light, splendour, perception, knowledge"
Bhānavī,भानवी,a kind of pace
Bhānutā,भानुता,state of being the sun
Bhāgīrathī,भागीरथी,name of Gaṇgā
Bhāratī,भारती,"a female descendent of Bharata, name of a deity later identified with Sarasvatī"
Bhavānī,भवानी,"displaying, manifesting"
Bhavanā,भावना,the act of producing
Bhāvikī,भाविकी,"actually being or existing, real, natural"
Bhāsvara,भास्वर,"shining, light, brilliant"
Bhīmā,भीमा,"tremendous, terrific"
Bhīmodarī,भीमोदारी,name of Umā
Bhukti,भुक्ति,enjoyment
Bhuśandī,भूषन्डी,kind of a weapon
Bhuvā,भुवा,atmosphere
Bhūdhatrī,भूधात्री,earth mother
Bhūtā,भूता,actually happened
Bhūtika,भूतिका,species of a plant
Bhūti,भूति,existence
Bhūmi,भूमि,"the earth, soil, ground"
Bhūmikā,भूमिका,"the earth, soil, ground, in drama - part/ character, in Yoga - degree, step"
Bhūvarī,भूवरी,name of a goddess
Bhūṣā,भूषा,"ornament, decoration"
Bhṛṅgamārī,भ्रङ्गमारी,name of a flower
Bhṛṣṭi,भृष्टि,"spike, point"
Bhairavī,भैरवी,a particular form of Durgā
Bhomirā,भोमिरा,coral
Bhaulī,भौली,name of a Rāga
Bhrānti,भ्रान्ति,wandering or roaming about
Bhrājakī,भ्राजकी,"causing to shine, making bright"
Bhrāji,भ्राजि,"splendour, lustre"
Bhrādinī,भ्रादिनी,a particular Śruti in music
Hari,हरि,name of Viṣṇu
Harmuṭa,हर्मुट,the sun
Harṣa,हर्ष,"joy, pleasure"
Haṃsarāja,हंसराज,king of swans
Hārdika,हार्दिक,affectionate
Harṣavardhana,हर्षवर्धन,the one who increases pleasure
Himāṇśu,हिमांशु,"cool rayed, the moon"
Hiraṇmaya,हिरण्मय,"golden, gold-coloured, name of Brahma"
Hiraka,हिरक,a diamond
Hutāṇśa,हुतांश,a part of an oblation
Hṛdāṇṣu,हृदांषु,pleasant rays
Hṛshi,हृषि,"joy, satisfaction ,pleasure"
Hṛṣikeśa,हृषिकेश,lord of the senses (Manas i.e the mind)
Hemanta,हेमन्त,"winter, cold season"
Heramba,हेरम्ब,name of Ganeśa
Haṃsikā,हंसिका,a swan
Hariṣā,हरिषा,a particular kind of condiment
Harṣadā,हर्षदा,the one who gives happiness
Harṣikā,हर्षिका,a kind of metre
Hṛdayā,हृदया,heart
Hṛidyā,हृद्या,innermost
Hṛṣitā,हृषिता,"cheerful, glad, happy"
Hṛṣṭi,हृष्टि,"delight, joy, rapture"
Hemā,हेमा,gold
Hemamālā,हेममाला,"golden garlanded,name of the wife of Yama"
Hemamālikā,हेममालिका,golden necklace
Hrī,ह्रि,"modesty, shyness"
Hriti,ह्रिति,bashfulness
Hlādikā,ह्लादिका,"refreshing, gladdenning"
Hūti,हूति,"calling, invocation"
Takśaka,तक्षक,name of a tree
Tañjala,तञ्जल,the Cātaka bird
Taṇḍu,तण्डु,name of an attendant of Śiva
Tanmaya,तन्मय,absorbed in/identical with
Tanaya,तनय,"a son, name of Vasiṣṭha"
Tanuvardhana,तनुवर्धन,name of Viṣṇu
Tapatanaya,तपतनय,on of the sun i.e Karṇa
Tapita,तपित,refined gold
Tapobala,तपोबल,power acquired by performing austerities
Tamālaka,तमालक,bark of a bamboo
Tamīśvara,तमीश्वर,the moon
Tamoghna,तमोघ्न,"destroyer of darkness, the sun, fire name of Viṣṇu, Śiva"
Taraṇa,तरण,"final place, heaven"
Taranta,तरन्त,the ocean
Taruṣa,तरुष,"a conqueror, overcomer"
Taruṇa,तरुण,"progressive, young, tender, juvenile"
Tarka,तर्क,conjecture
Tarpaṇa,तर्पण,"name of a plant, satiating, refreshing gods and deceased by presenting them libations of water"
Tarpara,तर्पर,bell hanging from the throat of a cow
Tarṣa,तर्ष,"thirst, wish, desire"
Talina,तलिन,"thin, fine"
Tallaja,तल्लज,an excellent specimen
